neutron_id,status,reached_detector,detector_hit_x_m,detector_hit_y_m,detector_hit_z_m,velocity_magnitude_m_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,direction_x,direction_y,direction_z,final_energy_MeV,initial_energy_MeV,energy_after_shell_MeV,energy_after_channel_MeV,total_flight_time_s,total_flight_time_ns,final_position_x_m,final_position_y_m,final_position_z_m,exit_position_x_m,exit_position_y_m,exit_position_z_m
11,lost_in_channel,False,,,,2410361.1296643657,-1424955.6201554274,692755.0583331779,1816434.0574703326,-0.591179306129056,0.28740716476358114,0.7535941544673286,0.030368256118613043,2.4940267304350847,2.4940267304350847,0.7932464066276539,7.010839359271266e-08,70.10839359271266,0.035707964191915686,-0.10976259213841856,1.428248910247956,0.0754370176558462,-0.13351714769187703,1.2496242181408004
12,missed_detector,False,,,,5062197.446716827,1402343.9548823538,4684391.801972859,1309865.5913339956,0.27702276919124663,0.9253672641731902,0.2587543463330398,0.1339472445540038,2.5427160967099387,2.5427160967099387,0.1339472445540038,1.0570069204238395e-06,1057.0069204238396,1.5901138262874988,4.727804996522756,2.713669548066139,0.16017617264708792,0.07043669985171794,1.246465822249941
13,missed_detector,False,,,,6246944.792470165,-4292835.664929668,-4153444.479954835,-1828874.0104257236,-0.6871896274966434,-0.6648761303223366,-0.29276295392112006,0.20398158355020482,2.5842526346329993,2.5842526346329993,0.20398158355020482,8.20160935401967e-07,820.160935401967,-3.4628765859144206,-3.3430151440209683,-1.1428306850718928,0.015916814916886204,0.004045280021699183,0.3
14,lost_in_channel,False,,,,2721844.3542485074,1645329.7975233658,-595811.1441685667,-2084786.7101026757,0.6044907729404815,-0.21889978508086597,-0.7659463359278965,0.0387241770472198,2.3597939955894227,2.3597939955894227,2.3597939955894227,6.562470795515328e-08,65.62470795515328,0.182076209136241,0.041977467367885456,1.3790174811359748,0.16395723666066384,0.03861045487170555,1.2471235978775443
15,lost_in_channel,False,,,,1643657.1315730433,-219240.047402601,1620734.5478826012,163591.23780206012,-0.13338551160775228,0.9860539140127697,0.09952880966451744,0.014121410571318856,2.512284261800697,2.512284261800697,2.512284261800697,1.3903346600994546e-08,13.903346600994546,-0.019435728190913267,-0.010140109819942887,0.3040183573322771,-0.01917883679274437,-0.010006083095364122,0.30000000000000004
16,missed_detector,False,,,,21863301.505901407,3372332.8803012385,-852203.2894256674,21584834.334223695,0.1542462779187749,-0.038978710017589895,0.9872632606926932,2.4985446286114237,2.4985446286114237,2.4985446286114237,2.4985446286114237,2.862336572921262e-07,286.2336572921262,0.9652751740778337,-0.24392926432475515,6.178306074442993,0.19404378448395923,-0.04903571423680567,1.2419897709795276
17,missed_detector,False,,,,11433858.692156779,5601420.031577766,9967196.104336979,-110544.28858245912,0.4898976087066863,0.8717263675100447,-0.009668152419820317,0.6833469563598413,2.4433583283928715,0.6833469563598413,0.6833469563598413,5.775807078534443e-07,577.5807078534443,3.6728428006866416,3.9177038289607284,0.074846875519993,-0.018352555922605925,0.02206224220056905,0.3
18,lost_in_channel,False,,,,3557620.522893185,3263528.516040902,1407657.318850274,-156672.53296575506,0.9173346328086964,0.39567382462295797,-0.04403857352339066,0.06615685735399326,2.4997401996895317,2.4997401996895317,0.11623807530812377,7.209781245221218e-08,72.09781245221218,0.17783489132441238,0.1660595136478787,1.3885401360353782,0.1518240034409326,0.09372145264908506,1.2468522284608337
19,missed_detector,False,,,,21476810.544135246,-1070638.1108458212,3287819.837086107,21196635.721339047,-0.04985088957439187,0.15308696933045882,0.9869545423320453,2.4109888135488564,2.4109888135488564,2.4109888135488564,2.4109888135488564,2.91463250988088e-07,291.463250988088,-0.31205166446499266,0.9582786585218869,6.178040358264898,-0.06279721659303332,0.1928438118695928,1.243267646604671
20,missed_detector,False,,,,18849894.07806403,-15183596.024683807,4820850.156231688,10076523.323279731,-0.8055003365962273,0.2557494560057927,0.5345665753637294,1.8572631908416783,2.543519555839076,2.543519555839076,1.8572631908416783,3.359048854034432e-07,335.9048854034432,-4.214831324041721,1.451791051641795,4.140779666180062,-0.10467815733235457,0.11761599761684687,1.2490347188406363
