neutron_id,step_id,event_type,position_x_m,position_y_m,position_z_m,energy_MeV
12,4,scatter_PE,-0.18674240310485146,0.02659056880011433,1.4245368799041582,2.003841370063571
12,5,scatter_PE,-0.15085701437564136,0.011679511409546194,1.4231798253778827,1.4607628104761736
12,6,scatter_PE,-0.1352757158650476,0.006623682164744112,1.432283483665218,0.21456078295328085
12,7,scatter_PE,-0.13459130818946763,0.010046564438789724,1.43895012319277,0.18368140106148223
12,8,exit_PE,-0.13565973559000719,0.022156423882701146,1.450000000672611,0.18368140106148223
12,9,enter_PE,-0.13711010554376415,0.038595328643847696,1.465,0.18368140106148223
12,10,escape,-0.462288506821242,3.724259634592452,4.828056293195227,0.18368140106148223
13,0,start,0.0,0.0,0.0,2.358393469144472
13,1,detector_hit,-0.07676668702017338,0.016493696249950236,2.9,2.358393469144472
14,0,start,0.0,0.0,0.0,2.323823747819752
