Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
7712590.0 ; 2.17994318
7722960.0 ; 2.31237859
7724940.0 ; 2.33651061
7725000.0 ; 2.33719376
7728440.0 ; 2.37178847
7732140.0 ; 2.40509715
7740360.0 ; 2.47376899
7745000.0 ; 2.51392183
7746750.0 ; 2.50111616
7753140.0 ; 2.45673033
7765920.0 ; 2.37150167
7770000.0 ; 2.34471272
7778700.0 ; 2.28038851
7789000.0 ; 2.2043358
7804260.0 ; 2.12958916
7810000.0 ; 2.10156367
7817040.0 ; 2.10291874
7819000.0 ; 2.10326589
7825560.0 ; 2.09355712
7842600.0 ; 2.06871408
7855380.0 ; 2.05040466
7860000.0 ; 2.04435929
7868160.0 ; 2.03674163
7870290.0 ; 2.03483116
7879540.0 ; 2.02784848
7886400.0 ; 2.02293627
7886448.0 ; 2.02240564
7888000.0 ; 2.00524098
7888540.0 ; 2.00528212
7895270.0 ; 2.00735975
7897000.0 ; 2.00797512
7899300.0 ; 2.00674006
7904680.0 ; 2.00500821
7910060.0 ; 2.0035496
7915440.0 ; 2.0034702
7920820.0 ; 2.0046174
7926200.0 ; 2.00721259
7930000.0 ; 2.01025428
7931580.0 ; 2.00758559
7936000.0 ; 2.00177162
7936960.0 ; 2.00316748
7942340.0 ; 2.01332288
7947720.0 ; 2.02613798
7953100.0 ; 2.04186767
7958480.0 ; 2.06056637
7966550.0 ; 2.09324191
7976770.0 ; 2.13548193
7977310.0 ; 2.1372783
7981610.0 ; 2.15087266
7982150.0 ; 2.15206723
7985380.0 ; 2.15861985
7990000.0 ; 2.16151606
7990150.0 ; 2.16149377
7990540.0 ; 2.16133103
7993850.0 ; 2.15766897
7994620.0 ; 2.15662957
7998470.0 ; 2.14723057
8000000.0 ; 2.14176356
8000010.0 ; 2.14174408
8003860.0 ; 2.1339223
8004660.0 ; 2.13171167
8005000.0 ; 2.13071947
8010000.0 ; 2.06315348
8014000.0 ; 2.07727682
8015820.0 ; 2.06839228
8021400.0 ; 2.04118694
8028840.0 ; 2.00869091
8036280.0 ; 1.98094108
8041860.0 ; 1.96297544
8043720.0 ; 1.95711526
8044000.0 ; 1.95635667
8051160.0 ; 1.97229833
8053000.0 ; 1.97716902
8058600.0 ; 1.96952913
8060460.0 ; 1.96709703
8067900.0 ; 1.96037021
8069760.0 ; 1.9588068
8079000.0 ; 1.95419849
8079060.0 ; 1.95369967
8080000.0 ; 1.94607413
8080920.0 ; 1.94618567
8082780.0 ; 1.94649166
8100000.0 ; 1.95150511
8100620.0 ; 1.96071671
8101000.0 ; 1.96633736
8101760.0 ; 1.96383086
8102900.0 ; 1.95978551
8105000.0 ; 1.95216745
8109000.0 ; 1.93294685
8109740.0 ; 1.93156642
8110880.0 ; 1.92927727
8115440.0 ; 1.91822098
8117720.0 ; 1.91233258
8120000.0 ; 1.90543578
8121140.0 ; 1.90033893
8124560.0 ; 1.88448929
8126840.0 ; 1.87287489
8131000.0 ; 1.85101962
8132540.0 ; 1.84437575
8133680.0 ; 1.8390022
8138000.0 ; 1.81804026
8142800.0 ; 1.78827831
8158760.0 ; 1.68651233
8160000.0 ; 1.67869463
8161040.0 ; 1.66879944
8165600.0 ; 1.62646534
8166000.0 ; 1.62278522
8170160.0 ; 1.59490465
8173740.0 ; 1.57171424
8177600.0 ; 1.54698703
8184400.0 ; 1.50522228
8191200.0 ; 1.46522783
8198000.0 ; 1.42686318
8200000.0 ; 1.41601171
8204800.0 ; 1.39862443
8210000.0 ; 1.38078661
8211600.0 ; 1.37764368
8218400.0 ; 1.36543603
8225200.0 ; 1.35453498
8232000.0 ; 1.34389024
8238800.0 ; 1.33461279
8240000.0 ; 1.33301599
8249000.0 ; 1.31973246
8262600.0 ; 1.30195237
8272800.0 ; 1.28894914
8283000.0 ; 1.27626242
8295800.0 ; 1.26050169
8296200.0 ; 1.2563413
8296218.0 ; 1.25633439
8306800.0 ; 1.25241262
8320000.0 ; 1.24625418
8323800.0 ; 1.24021505
8327200.0 ; 1.23473851
8330000.0 ; 1.22990997
8344200.0 ; 1.21661184
8361200.0 ; 1.19844039
8364600.0 ; 1.19445774
8381600.0 ; 1.17417485
